IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,117.957806132,,,,,,,,,,,,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,AFSA06.jpg,AFNE07.jpg,AFNE06.jpg,AFSA01.jpg,AFNE06.jpg,FN,3,num_2,32,num_6,1.35011172947,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AFSA12.jpg,AFNE15.jpg,AFNE03.jpg,AFSA17.jpg,AFSA12.jpg,FS,4,num_8,32,num_4,2.60005279374,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,AFNE03.jpg,AFSA15.jpg,AFSA05.jpg,AFNE15.jpg,AFNE15.jpg,FN,3,num_4,16,num_4,1.56669015542,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,AFSA01.jpg,AFSA18.jpg,AFNE18.jpg,AFNE07.jpg,AFSA18.jpg,FS,4,num_6,16,num_6,1.05018893129,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,AFNE04.jpg,AFSA11.jpg,AFSA06.jpg,AFNE03.jpg,AFSA06.jpg,FS,4,num_2,32,num_6,2.18330976437,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,AFSA17.jpg,AFNE02.jpg,AFSA10.jpg,AFNE14.jpg,AFSA17.jpg,FS,4,num_8,32,num_6,1.35009697545,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,AFNE12.jpg,AFSA02.jpg,AFSA08.jpg,AFNE13.jpg,AFSA08.jpg,FS,4,num_2,16,num_2,1.66671841266,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,AFSA17.jpg,AFNE02.jpg,AFSA13.jpg,AFNE01.jpg,AFNE01.jpg,FN,3,num_4,16,num_4,1.93364485656,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,AFNE09.jpg,AFSA09.jpg,AFNE01.jpg,AFSA12.jpg,AFSA09.jpg,FS,4,num_6,32,num_8,2.31664677546,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,AFNE12.jpg,AFSA03.jpg,AFNE06.jpg,AFSA15.jpg,AFNE12.jpg,FN,3,num_8,32,num_4,2.34998183022,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,AMNE09.jpg,AMSA15.jpg,AMNE05.jpg,AMSA02.jpg,AMNE05.jpg,MN,1,num_2,32,num_6,1.61669562408,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,AMNE05.jpg,AMSA18.jpg,AMSA20.jpg,AMNE18.jpg,AMSA18.jpg,MS,2,num_6,16,num_6,0.883417115663,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,AMNE03.jpg,AMSA02.jpg,AMNE04.jpg,AMSA15.jpg,AMNE03.jpg,MN,1,num_8,16,num_8,1.4167154457,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,AMSA10.jpg,AMNE15.jpg,AMNE07.jpg,AMSA19.jpg,AMNE15.jpg,MN,1,num_6,16,num_6,2.60000468278,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,AMNE17.jpg,AMSA14.jpg,AMNE18.jpg,AMSA20.jpg,AMNE18.jpg,MN,1,num_2,16,num_2,3.29964439652,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,AMNE02.jpg,AMNE15.jpg,AMSA05.jpg,AMSA14.jpg,AMSA14.jpg,MS,2,num_4,16,num_4,0.600138751674,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,AMSA18.jpg,AMNE19.jpg,AMSA06.jpg,AMNE13.jpg,AMNE13.jpg,MN,1,num_4,32,num_6,1.26675388636,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,AMSA10.jpg,AMNE18.jpg,AMSA07.jpg,AMNE05.jpg,AMSA10.jpg,MS,2,num_8,32,num_2,2.69997135794,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,AMNE09.jpg,AMSA08.jpg,AMSA15.jpg,AMNE06.jpg,AMNE09.jpg,MN,1,num_8,32,num_4,1.91667326854,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,AMSA19.jpg,AMSA16.jpg,AMNE14.jpg,AMNE06.jpg,AMSA16.jpg,MS,2,num_6,32,num_8,2.48329671018,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,AFSA20.jpg,AFNE18.jpg,AFSA06.jpg,AFNE01.jpg,AFNE18.jpg,FN,3,num_6,32,num_2,3.74986264354,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,AFNE05.jpg,AFSA03.jpg,AFNE17.jpg,AFSA15.jpg,AFNE05.jpg,FN,3,num_8,16,num_8,0.883470679168,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,AFSA06.jpg,AFNE19.jpg,AFNE03.jpg,AFSA14.jpg,AFSA14.jpg,FS,4,num_4,32,num_8,1.44975798635,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,AFSA11.jpg,AFNE09.jpg,AFSA20.jpg,AFNE15.jpg,AFNE09.jpg,FN,3,num_6,32,num_8,1.26677441364,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,AFNE03.jpg,AFNE18.jpg,AFSA18.jpg,AFSA11.jpg,AFNE03.jpg,FN,3,num_8,16,num_8,1.16677181562,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,AFNE06.jpg,AFNE20.jpg,AFSA07.jpg,AFSA16.jpg,AFNE20.jpg,FN,3,num_6,32,num_8,1.18339892977,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,AFSA06.jpg,AFSA05.jpg,AFNE10.jpg,AFNE15.jpg,AFSA05.jpg,FS,4,num_6,16,num_6,0.683442710782,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,AFNE06.jpg,AFSA05.jpg,AFNE05.jpg,AFSA11.jpg,AFSA11.jpg,FS,4,num_4,16,num_4,1.11672176432,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,AFNE13.jpg,AFSA20.jpg,AFSA06.jpg,AFNE04.jpg,AFSA06.jpg,FS,4,num_2,32,num_6,0.750129498425,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,AFSA13.jpg,AFNE14.jpg,AFNE16.jpg,AFSA18.jpg,AFNE16.jpg,FN,3,num_2,16,num_2,1.45017077751,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,AMSA02.jpg,AMSA04.jpg,AMNE07.jpg,AMNE15.jpg,AMSA02.jpg,MS,2,num_8,32,num_6,0.550159262959,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,AMNE14.jpg,AMSA06.jpg,AMNE20.jpg,AMSA19.jpg,AMNE20.jpg,MN,1,num_2,16,num_2,1.66678801295,,,2017_Apr_28_1701,60.0067170591,FEMA4ImagesEEG,001,100214,
