IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,BreakKey_resp.keys,BreakKey_resp.rt,Key_Resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,30.9315210234,,,,,,,,,,,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,AFSA18.jpg,AFNE06.jpg,AFNE17.jpg,AFSA08.jpg,AFNE06.jpg,FN,3,num_6,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AFNE03.jpg,AFNE05.jpg,AFSA09.jpg,AFSA04.jpg,AFSA04.jpg,FS,4,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,AFSA04.jpg,AFNE12.jpg,AFSA12.jpg,AFNE07.jpg,AFNE07.jpg,FN,3,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,AFSA16.jpg,AFNE18.jpg,AFSA12.jpg,AFNE13.jpg,AFSA12.jpg,FS,4,num_2,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,AFSA02.jpg,AFSA18.jpg,AFNE16.jpg,AFNE12.jpg,AFSA02.jpg,FS,4,num_8,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,AFNE18.jpg,AFNE16.jpg,AFSA12.jpg,AFSA16.jpg,AFNE18.jpg,FN,3,num_8,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,AFSA20.jpg,AFSA01.jpg,AFNE07.jpg,AFNE18.jpg,AFSA20.jpg,FS,4,num_8,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,AFNE08.jpg,AFSA07.jpg,AFSA03.jpg,AFNE12.jpg,AFNE12.jpg,FN,3,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,AFSA10.jpg,AFNE14.jpg,AFNE01.jpg,AFSA08.jpg,AFNE01.jpg,FN,3,num_2,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,AFSA05.jpg,AFNE08.jpg,AFSA12.jpg,AFNE11.jpg,AFNE11.jpg,FN,3,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,AMSA11.jpg,AMSA14.jpg,AMNE16.jpg,AMNE10.jpg,AMNE10.jpg,MN,1,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,AMSA20.jpg,AMNE13.jpg,AMNE07.jpg,AMSA11.jpg,AMNE07.jpg,MN,1,num_2,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,AMSA13.jpg,AMNE16.jpg,AMNE01.jpg,AMSA05.jpg,AMSA13.jpg,MS,2,num_8,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,AMSA03.jpg,AMNE11.jpg,AMNE06.jpg,AMSA19.jpg,AMSA19.jpg,MS,2,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,AMNE12.jpg,AMSA01.jpg,AMSA15.jpg,AMNE01.jpg,AMNE01.jpg,MN,1,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,AMNE05.jpg,AMSA09.jpg,AMNE14.jpg,AMSA08.jpg,AMNE14.jpg,MN,1,num_2,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,AMSA08.jpg,AMNE11.jpg,AMNE14.jpg,AMSA18.jpg,AMSA18.jpg,MS,2,num_4,48,None,,,,2017_Jul_21_1250,59.9975175646,FEMA4ImagesEEG,001,101056,
