IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,34.2312398546,,,,,,,,,,,,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,AFNE02.jpg,AFSA05.jpg,AFSA18.jpg,AFNE20.jpg,AFSA18.jpg,FS,4,num_2,16,num_2,1.30008246214,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,AFNE10.jpg,AFSA06.jpg,AFSA07.jpg,AFNE01.jpg,AFSA07.jpg,FS,4,num_2,32,num_8,0.750126130879,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,AFSA12.jpg,AFNE13.jpg,AFNE03.jpg,AFSA19.jpg,AFSA12.jpg,FS,4,num_8,32,num_2,0.975722570438,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,AFNE17.jpg,AFSA03.jpg,AFNE01.jpg,AFSA16.jpg,AFNE17.jpg,FN,3,num_8,32,num_6,0.966800233349,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,AFNE10.jpg,AFSA14.jpg,AFNE15.jpg,AFSA01.jpg,AFNE15.jpg,FN,3,num_2,32,num_8,0.566777845845,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,AFNE14.jpg,AFNE12.jpg,AFSA06.jpg,AFSA13.jpg,AFSA06.jpg,FS,4,num_2,16,num_2,1.06674561137,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,AFNE17.jpg,AFSA11.jpg,AFNE02.jpg,AFSA17.jpg,AFSA11.jpg,FS,4,num_6,16,num_6,0.866770180175,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,AFNE12.jpg,AFSA13.jpg,AFSA15.jpg,AFNE18.jpg,AFSA13.jpg,FS,4,num_6,16,num_6,0.483364354121,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,AFNE17.jpg,AFSA16.jpg,AFSA08.jpg,AFNE06.jpg,AFSA16.jpg,FS,4,num_6,32,num_8,1.30029543326,,,2017_Apr_10_1433,59.9959781854,FEMA4ImagesEEG,001,200118,
