IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,83.7272608016,,,,,,,,,,,,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,AMSA11.jpg,AMNE18.jpg,AMSA09.jpg,AMNE11.jpg,AMSA09.jpg,MS,2,num_2,32,num_4,1.83350979327,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,AMNE05.jpg,AMSA10.jpg,AMNE18.jpg,AMSA04.jpg,AMSA04.jpg,MS,2,num_4,48,None,,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,AMNE16.jpg,AMNE19.jpg,AMSA13.jpg,AMSA03.jpg,AMNE19.jpg,MN,1,num_6,32,num_4,1.50011723011,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,AMNE06.jpg,AMNE13.jpg,AMSA10.jpg,AMSA01.jpg,AMNE13.jpg,MN,1,num_6,32,num_8,0.950111601152,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,AMSA17.jpg,AMNE20.jpg,AMNE13.jpg,AMSA19.jpg,AMNE13.jpg,MN,1,num_2,32,num_8,1.46678025107,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,AMSA05.jpg,AMSA02.jpg,AMNE14.jpg,AMNE12.jpg,AMSA05.jpg,MS,2,num_8,32,num_6,1.40007742646,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,AMNE10.jpg,AMSA09.jpg,AMNE04.jpg,AMSA14.jpg,AMSA09.jpg,MS,2,num_6,32,num_8,1.48324507126,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,AMSA12.jpg,AMNE03.jpg,AMSA14.jpg,AMNE08.jpg,AMNE03.jpg,MN,1,num_6,16,num_6,1.40008159599,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,AMNE08.jpg,AMNE06.jpg,AMSA18.jpg,AMSA19.jpg,AMNE08.jpg,MN,1,num_8,16,num_8,1.06677338725,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,AMNE13.jpg,AMSA10.jpg,AMNE03.jpg,AMSA04.jpg,AMSA10.jpg,MS,2,num_6,16,num_6,1.1167653848,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,AFSA01.jpg,AFSA04.jpg,AFNE12.jpg,AFNE03.jpg,AFNE12.jpg,FN,3,num_2,16,num_2,1.20008185261,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,AFNE03.jpg,AFSA08.jpg,AFNE05.jpg,AFSA12.jpg,AFSA12.jpg,FS,4,num_4,16,num_4,0.666765240487,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,AFNE12.jpg,AFSA18.jpg,AFSA04.jpg,AFNE07.jpg,AFNE07.jpg,FN,3,num_4,16,num_4,0.900162582693,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,AFSA15.jpg,AFNE12.jpg,AFNE14.jpg,AFSA19.jpg,AFNE14.jpg,FN,3,num_2,32,num_8,1.05011067103,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,AFSA11.jpg,AFSA12.jpg,AFNE13.jpg,AFNE15.jpg,AFNE13.jpg,FN,3,num_2,32,num_6,0.933479675907,,,2017_Apr_20_1828,60.006139569,MAFE4ImagesEEG,001,200136,
