IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.1327676768,,,,,,,,,,,,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,AFNE15.jpg,AFSA16.jpg,AFNE16.jpg,AFSA18.jpg,AFSA16.jpg,FS,4,num_6,32,num_8,0.983492805157,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,AFNE09.jpg,AFSA12.jpg,AFNE19.jpg,AFSA18.jpg,AFSA12.jpg,FS,4,num_6,16,num_6,0.750175124034,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,AFNE01.jpg,AFSA10.jpg,AFSA11.jpg,AFNE02.jpg,AFSA10.jpg,FS,4,num_6,32,num_2,1.41675134189,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,AFNE11.jpg,AFNE08.jpg,AFSA06.jpg,AFSA04.jpg,AFNE08.jpg,FN,3,num_6,32,num_8,1.1001311182,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,AFNE13.jpg,AFSA07.jpg,AFSA04.jpg,AFNE15.jpg,AFNE15.jpg,FN,3,num_4,16,num_4,1.01679810602,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,AFSA05.jpg,AFNE12.jpg,AFNE20.jpg,AFSA18.jpg,AFNE12.jpg,FN,3,num_6,32,num_8,0.95015960047,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,AFSA10.jpg,AFNE04.jpg,AFNE19.jpg,AFSA05.jpg,AFSA05.jpg,FS,4,num_4,16,num_4,1.26676154183,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,AFNE13.jpg,AFSA02.jpg,AFSA03.jpg,AFNE14.jpg,AFSA02.jpg,FS,4,num_6,32,num_2,1.26643855637,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,AFNE15.jpg,AFSA02.jpg,AFNE04.jpg,AFSA17.jpg,AFSA17.jpg,FS,4,num_4,16,num_4,0.833465798758,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,AFSA06.jpg,AFNE01.jpg,AFSA07.jpg,AFNE11.jpg,AFNE11.jpg,FN,3,num_4,16,num_4,0.933602049015,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,AMNE08.jpg,AMSA09.jpg,AMNE14.jpg,AMSA16.jpg,AMSA16.jpg,MS,2,num_4,32,num_6,0.800171724055,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,AMNE14.jpg,AMSA09.jpg,AMSA05.jpg,AMNE07.jpg,AMSA05.jpg,MS,2,num_2,16,num_2,0.766795860603,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,AMSA14.jpg,AMNE20.jpg,AMNE17.jpg,AMSA19.jpg,AMSA19.jpg,MS,2,num_4,16,num_4,0.733477409929,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,AMNE16.jpg,AMSA19.jpg,AMNE20.jpg,AMSA07.jpg,AMNE16.jpg,MN,1,num_8,16,num_8,1.38342358964,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,AMSA08.jpg,AMNE16.jpg,AMNE07.jpg,AMSA14.jpg,AMNE07.jpg,MN,1,num_2,32,num_8,1.16670291033,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,AMNE03.jpg,AMSA10.jpg,AMSA12.jpg,AMNE06.jpg,AMNE06.jpg,MN,1,num_4,16,num_4,0.916751021519,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,AMSA20.jpg,AMNE05.jpg,AMNE16.jpg,AMSA04.jpg,AMSA20.jpg,MS,2,num_8,16,num_8,1.05021309946,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,AMNE05.jpg,AMSA15.jpg,AMSA04.jpg,AMNE17.jpg,AMNE17.jpg,MN,1,num_4,32,num_8,0.83347413782,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,AMNE03.jpg,AMSA07.jpg,AMNE14.jpg,AMSA12.jpg,AMSA07.jpg,MS,2,num_6,32,num_8,1.0667757825,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,AMSA09.jpg,AMNE05.jpg,AMNE20.jpg,AMSA13.jpg,AMSA13.jpg,MS,2,num_4,16,num_4,0.766826651525,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,AFNE11.jpg,AFSA15.jpg,AFNE01.jpg,AFSA14.jpg,AFSA15.jpg,FS,4,num_6,32,num_2,0.966841277201,,,2017_Feb_22_1635,60.003695194,FEMA4ImagesEEG,001,000008,
