IPosition2,IPosition3,IPosition1,IPosition6,IPosition4,IPosition5,TrialsM1.thisRepN,TrialsM1.thisTrialN,TrialsM1.thisN,TrialsM1.thisIndex,TrialsF1.thisRepN,TrialsF1.thisTrialN,TrialsF1.thisN,TrialsF1.thisIndex,TrialsM2.thisRepN,TrialsM2.thisTrialN,TrialsM2.thisN,TrialsM2.thisIndex,TrialsF2.thisRepN,TrialsF2.thisTrialN,TrialsF2.thisN,TrialsF2.thisIndex,TrialsM3.thisRepN,TrialsM3.thisTrialN,TrialsM3.thisN,TrialsM3.thisIndex,TrialsF3.thisRepN,TrialsF3.thisTrialN,TrialsF3.thisN,TrialsF3.thisIndex,InstrKey_resp.keys,InstrKey_resp.rt,Image0 _Position,Image1 _Position,Image2 _Position,Image3 _Position,Center_image,condition,code,correct_answer,accuracy,Key_Resp.keys,Key_Resp.rt,BreakKey_resp.keys,BreakKey_resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,27.2818039176,,,,,,,,,,,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,AMSA11.jpg,AMSA03.jpg,AMNE20.jpg,AMNE14.jpg,AMSA11.jpg,MS,2,num_8,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFSA25.JPG,AFNE24.JPG,AFSA24.JPG,AFNE21.JPG,AFSA21.JPG,AFNE25.JPG,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,AMSA02.jpg,AMNE11.jpg,AMNE08.jpg,AMSA08.jpg,AMNE11.jpg,MN,1,num_6,32,num_2,2.36676436407,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,AMSA15.jpg,AMNE14.jpg,AMSA12.jpg,AMNE01.jpg,AMNE14.jpg,MN,1,num_6,32,num_2,1.78323120973,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,AMSA05.jpg,AMNE20.jpg,AMSA13.jpg,AMNE05.jpg,AMNE05.jpg,MN,1,num_4,16,num_4,2.50001731981,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,AMNE03.jpg,AMNE05.jpg,AMSA06.jpg,AMSA09.jpg,AMNE05.jpg,MN,1,num_6,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMSA21.JPG,AMNE22.JPG,AMNE21.JPG,AMSA23.JPG,AMSA22.JPG,AMNE23.JPG,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,AMNE11.jpg,AMSA03.jpg,AMNE15.jpg,AMSA20.jpg,AMNE15.jpg,MN,1,num_2,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFSA21.JPG,AFNE23.JPG,AFNE21.JPG,AFSA25.JPG,AFNE25.JPG,AFSA23.JPG,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,AMSA02.jpg,AMNE01.jpg,AMNE12.jpg,AMSA07.jpg,AMSA07.jpg,MS,2,num_4,16,num_4,1.75009942916,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,AMNE11.jpg,AMSA10.jpg,AMNE02.jpg,AMSA05.jpg,AMNE11.jpg,MN,1,num_8,32,num_2,2.43334834394,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,AMNE02.jpg,AMNE08.jpg,AMSA16.jpg,AMSA12.jpg,AMSA12.jpg,MS,2,num_4,16,num_4,2.88330042548,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,AMSA08.jpg,AMNE10.jpg,AMSA10.jpg,AMNE13.jpg,AMSA10.jpg,MS,2,num_2,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFNE25.JPG,AFNE24.JPG,AFSA25.JPG,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,AFSA16.jpg,AFSA18.jpg,AFNE15.jpg,AFNE09.jpg,AFNE15.jpg,FN,3,num_2,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFNE23.JPG,AFNE24.JPG,AFNE22.JPG,AFSA24.JPG,AFSA22.JPG,AFSA23.JPG,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,AFSA11.jpg,AFNE06.jpg,AFSA19.jpg,AFNE10.jpg,AFSA11.jpg,FS,4,num_8,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AFSA21.JPG,AFNE22.JPG,AFNE21.JPG,AFSA23.JPG,AFSA22.JPG,AFNE23.JPG,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,AFSA18.jpg,AFNE17.jpg,AFSA12.jpg,AFNE10.jpg,AFNE17.jpg,FN,3,num_6,32,num_4,1.76669194107,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMSA25.JPG,AMNE24.JPG,AMSA24.JPG,AMNE26.JPG,AMSA21.JPG,AMNE25.JPG,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,AFSA01.jpg,AFNE16.jpg,AFSA05.jpg,AFNE04.jpg,AFNE16.jpg,FN,3,num_6,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMNE23.JPG,AMNE24.JPG,AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMSA23.JPG,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,AFNE17.jpg,AFSA06.jpg,AFSA19.jpg,AFNE04.jpg,AFSA19.jpg,FS,4,num_2,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMSA21.JPG,AMNE23.JPG,AMNE21.JPG,AMSA25.JPG,AMNE25.JPG,AMSA23.JPG,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,AFNE18.jpg,AFNE15.jpg,AFSA06.jpg,AFSA08.jpg,AFNE15.jpg,FN,3,num_6,32,num_2,3.31657788577,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
AMNE22.JPG,AMSA24.JPG,AMSA22.JPG,AMNE25.JPG,AMNE24.JPG,AMSA25.JPG,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,AFSA07.jpg,AFNE05.jpg,AFSA01.jpg,AFNE19.jpg,AFSA01.jpg,FS,4,num_2,48,None,,,,2017_Feb_06_1050,59.9976907628,MAFE4ImagesEEG,001,00002,
