Time,Activity
2017-05-05 12:00:00,51.0
2017-05-05 12:00:30,66.0
2017-05-05 12:01:00,82.0
2017-05-05 12:01:30,134.0
2017-05-05 12:02:00,0.0
2017-05-05 12:02:30,0.0
2017-05-05 12:03:00,5.0
2017-05-05 12:03:30,73.0
2017-05-05 12:04:00,204.0
2017-05-05 12:04:30,0.0
2017-05-05 12:05:00,0.0
2017-05-05 12:05:30,0.0
2017-05-05 12:06:00,0.0
2017-05-05 12:06:30,82.0
2017-05-05 12:07:00,0.0
2017-05-05 12:07:30,0.0
2017-05-05 12:08:00,0.0
2017-05-05 12:08:30,0.0
2017-05-05 12:09:00,0.0
2017-05-05 12:09:30,57.0
2017-05-05 12:10:00,0.0
2017-05-05 12:10:30,0.0
2017-05-05 12:11:00,0.0
2017-05-05 12:11:30,17.0
2017-05-05 12:12:00,6.0
2017-05-05 12:12:30,329.0
2017-05-05 12:13:00,503.0
2017-05-05 12:13:30,812.0
2017-05-05 12:14:00,553.0
2017-05-05 12:14:30,839.0
2017-05-05 12:15:00,714.0
2017-05-05 12:15:30,387.0
2017-05-05 12:16:00,70.0
2017-05-05 12:16:30,487.0
2017-05-05 12:17:00,297.0
2017-05-05 12:17:30,340.0
2017-05-05 12:18:00,191.0
2017-05-05 12:18:30,185.0
2017-05-05 12:19:00,149.0
2017-05-05 12:19:30,362.0
2017-05-05 12:20:00,503.0
2017-05-05 12:20:30,375.0
2017-05-05 12:21:00,340.0
2017-05-05 12:21:30,471.0
2017-05-05 12:22:00,608.0
2017-05-05 12:22:30,185.0
2017-05-05 12:23:00,714.0
2017-05-05 12:23:30,670.0
2017-05-05 12:24:00,762.0
2017-05-05 12:24:30,76.0
2017-05-05 12:25:00,362.0
2017-05-05 12:25:30,427.0
2017-05-05 12:26:00,130.0
2017-05-05 12:26:30,471.0
2017-05-05 12:27:00,362.0
2017-05-05 12:27:30,288.0
2017-05-05 12:28:00,455.0
2017-05-05 12:28:30,36.0
2017-05-05 12:29:00,40.0
2017-05-05 12:29:30,33.0
2017-05-05 12:30:00,46.0
2017-05-05 12:30:30,149.0
2017-05-05 12:31:00,670.0
2017-05-05 12:31:30,536.0
2017-05-05 12:32:00,714.0
